,Date,Open_Bitcoin,High_Bitcoin,Low_Bitcoin,Close_Bitcoin,Adj Close_Bitcoin,Volume_Bitcoin,Open_Ethereum,High_Ethereum,Low_Ethereum,Close_Ethereum,Adj Close_Ethereum,Volume_Ethereum
0,2020-01-31,9508.3134765625,9521.7060546875,9230.7763671875,9350.529296875,9350.529296875,29432489719,184.7369079589844,185.4058380126953,176.29681396484375,180.16017150878903,180.16017150878903,11728616394
1,2020-02-01,9346.357421875,9439.3232421875,9313.2392578125,9392.875,9392.875,25922656496,180.11376953125,183.84555053710938,179.74517822265625,183.6739501953125,183.6739501953125,11569697182
2,2020-02-02,9389.8203125,9468.7978515625,9217.82421875,9344.365234375,9344.365234375,30835736946,183.53250122070312,193.0803985595703,180.1739501953125,188.61753845214844,188.61753845214844,14054425389
3,2020-02-03,9344.68359375,9540.3720703125,9248.6337890625,9293.521484375,9293.521484375,30934096509,188.6074066162109,193.4368896484375,188.0126953125,189.8650665283203,189.8650665283203,12392875241
4,2020-02-04,9292.841796875,9331.265625,9112.8115234375,9180.962890625,9180.962890625,29893183716,189.8617248535156,191.1114959716797,185.40362548828125,189.25059509277344,189.25059509277344,11714191695
5,2020-02-05,9183.416015625,9701.2998046875,9163.7041015625,9613.423828125,9613.423828125,35222060874,189.29910278320312,206.8040008544922,188.752685546875,204.2302398681641,204.2302398681641,14865434435
6,2020-02-06,9617.8212890625,9824.619140625,9539.818359375,9729.8017578125,9729.8017578125,37628823716,204.12969970703125,214.59771728515625,201.9040679931641,212.33908081054688,212.33908081054688,16425589683
7,2020-02-07,9726.0029296875,9834.716796875,9726.0029296875,9795.943359375,9795.943359375,34522718159,212.31588745117188,223.14093017578125,212.30419921875,222.7260589599609,222.7260589599609,16673443564
8,2020-02-08,9793.0703125,9876.7490234375,9678.91015625,9865.119140625,9865.119140625,35172043762,222.51097106933597,226.5880889892578,215.38629150390625,223.1465148925781,223.1465148925781,16741203125
9,2020-02-09,9863.89453125,10129.435546875,9850.392578125,10116.673828125,10116.673828125,35807884663,222.98223876953125,229.8642425537109,222.98223876953125,228.5785675048828,228.5785675048828,15031356241
10,2020-02-10,10115.5595703125,10165.765625,9784.5634765625,9856.611328125,9856.611328125,39386548075,228.54913330078125,229.1846160888672,218.08004760742188,223.522705078125,223.522705078125,16210008511
11,2020-02-11,9855.8916015625,10210.052734375,9729.3349609375,10208.236328125,10208.236328125,37648059389,223.3849334716797,236.5471343994141,218.61761474609372,235.8511962890625,235.8511962890625,16964695963
12,2020-02-12,10202.3876953125,10393.611328125,10202.3876953125,10326.0546875,10326.0546875,43444303830,235.89822387695312,272.39883422851557,235.89627075195312,265.4061279296875,265.4061279296875,24545049386
13,2020-02-13,10323.9609375,10457.626953125,10116.1611328125,10214.3798828125,10214.3798828125,49356071373,265.05270385742193,273.74105834960943,258.92251586914057,268.0992431640625,268.0992431640625,25801317504
14,2020-02-14,10211.55078125,10321.99609375,10125.5341796875,10312.1162109375,10312.1162109375,43338264162,268.02328491210943,285.0564270019531,262.76251220703125,284.2174987792969,284.2174987792969,23558253463
15,2020-02-15,10313.8564453125,10341.5556640625,9874.427734375,9889.4248046875,9889.4248046875,43865054831,284.5613098144531,287.1236877441406,264.2796630859375,264.72857666015625,264.72857666015625,23682452994
16,2020-02-16,9889.1796875,10053.96875,9722.38671875,9934.43359375,9934.43359375,43374780305,264.904052734375,272.8824462890625,242.4844055175781,259.89471435546875,259.89471435546875,25152366643
17,2020-02-17,9936.560546875,9938.8154296875,9507.6376953125,9690.142578125,9690.142578125,45998298413,259.8905639648437,266.87124633789057,244.3353271484375,266.36343383789057,266.36343383789057,26024080089
18,2020-02-18,9691.23046875,10161.935546875,9632.3828125,10141.99609375,10141.99609375,47271023953,266.50881958007807,283.1961364746094,261.46389770507807,281.944580078125,281.944580078125,26511477187
19,2020-02-19,10143.798828125,10191.67578125,9611.2236328125,9633.38671875,9633.38671875,46992019710,282.0362854003906,283.5379333496094,259.76397705078125,259.76397705078125,259.76397705078125,22679414413
20,2020-02-20,9629.3251953125,9643.216796875,9507.900390625,9608.4755859375,9608.4755859375,44925260237,259.81985473632807,263.69540405273443,250.9512634277344,257.949462890625,257.949462890625,23229828870
21,2020-02-21,9611.7822265625,9723.0146484375,9589.7431640625,9686.44140625,9686.44140625,40930547513,257.89111328125,267.00485229492193,255.6890869140625,265.60061645507807,265.60061645507807,20867593292
22,2020-02-22,9687.70703125,9698.2314453125,9600.728515625,9663.181640625,9663.181640625,35838025154,265.55157470703125,266.38720703125,258.91314697265625,262.33172607421875,262.33172607421875,16906032862
23,2020-02-23,9663.318359375,9937.404296875,9657.791015625,9924.515625,9924.515625,41185185761,262.27841186523443,273.754150390625,261.96051025390625,273.754150390625,273.754150390625,19585998814
24,2020-02-24,9921.5830078125,9951.74609375,9537.04296875,9650.1748046875,9650.1748046875,45080496648,273.705078125,275.53952026367193,259.62515258789057,265.2164306640625,265.2164306640625,22400845640
25,2020-02-25,9651.3125,9652.7373046875,9305.021484375,9341.705078125,9341.705078125,42515259129,265.28338623046875,265.43148803710943,246.85899353027344,247.81759643554688,247.81759643554688,21878882134
26,2020-02-26,9338.2900390625,9354.7783203125,8704.4267578125,8820.5224609375,8820.5224609375,50420050762,247.74020385742188,249.6497039794922,221.2665557861328,225.6802673339844,225.6802673339844,26235617201
27,2020-02-27,8825.09375,8932.892578125,8577.19921875,8784.494140625,8784.494140625,45470195695,225.6870422363281,237.2289276123047,212.66452026367188,226.75338745117188,226.75338745117188,25645522790
28,2020-02-28,8788.728515625,8890.4560546875,8492.9326171875,8672.455078125,8672.455078125,44605450443,226.98760986328125,234.2089385986328,216.34620666503903,226.760498046875,226.760498046875,22563530559
29,2020-02-29,8671.212890625,8775.6318359375,8599.5087890625,8599.5087890625,8599.5087890625,35792392544,226.8334503173828,232.25662231445312,219.8485107421875,219.8485107421875,219.8485107421875,18181296376
